sale_id,date,store_id,store_name,product_id,product_name,category,quantity,unit_price,unit_cost,total_revenue,total_cost,profit
SALE00056,2023-10-11,S001,Downtown,P001,Laptop,Electronics,1,899.99,475.09,899.99,475.09,424.9
SALE00057,2023-12-15,S001,Downtown,P004,Tablet,Electronics,2,449.99,200.08,899.98,400.16,499.82
SALE00058,2023-12-16,S005,Southmall,P002,Headphones,Electronics,9,79.99,32.4,719.91,291.6,428.31
SALE00059,2023-05-17,S004,Eastpark,P009,Coffee Maker,Home,6,59.99,29.06,359.94,174.36,185.58
SALE00060,2023-02-27,S002,Westside,P007,Jacket,Clothing,5,89.99,52.05,449.95,260.25,189.7
SALE00061,2023-08-11,S005,Southmall,P008,Sneakers,Clothing,3,69.99,29.21,209.97,87.63,122.34
SALE00062,2023-08-21,S005,Southmall,P016,Granola,Food,1,6.99,3.56,6.99,3.56,3.43
SALE00063,2023-05-15,S004,Eastpark,P002,Headphones,Electronics,9,79.99,32.4,719.91,291.6,428.31
SALE00064,2023-04-02,S004,Eastpark,P014,Coffee Beans,Food,9,14.99,6.59,134.91,59.31,75.6
SALE00065,2023-02-24,S001,Downtown,P001,Laptop,Electronics,5,899.99,475.09,4499.95,2375.45,2124.5
SALE00066,2023-11-24,S001,Downtown,P005,T-Shirt,Clothing,9,19.99,10.94,179.91,98.46,81.45
SALE00067,2023-11-08,S005,Southmall,P004,Tablet,Electronics,4,449.99,200.08,1799.96,800.32,999.64
SALE00068,2023-03-20,S005,Southmall,P012,Lamp,Home,6,34.99,17.53,209.94,105.18,104.76
SALE00069,2023-03-24,S004,Eastpark,P016,Granola,Food,9,6.99,3.56,62.91,32.04,30.87
SALE00070,2023-09-29,S005,Southmall,P003,Smartwatch,Electronics,1,199.99,91.0,199.99,91.0,108.99
SALE00071,2023-11-03,S005,Southmall,P009,Coffee Maker,Home,6,59.99,29.06,359.94,174.36,185.58
SALE00072,2023-09-08,S001,Downtown,P010,Blender,Home,1,39.99,16.23,39.99,16.23,23.76
SALE00073,2023-02-27,S004,Eastpark,P008,Sneakers,Clothing,6,69.99,29.21,419.94,175.26,244.68
SALE00074,2023-06-07,S004,Eastpark,P014,Coffee Beans,Food,4,14.99,6.59,59.96,26.36,33.6
SALE00075,2023-01-30,S004,Eastpark,P013,Protein Bar,Food,4,2.99,1.21,11.96,4.84,7.12
SALE00076,2023-10-18,S001,Downtown,P013,Protein Bar,Food,2,2.99,1.21,5.98,2.42,3.56
SALE00077,2023-02-13,S004,Eastpark,P013,Protein Bar,Food,8,2.99,1.21,23.92,9.68,14.24
SALE00078,2023-02-05,S005,Southmall,P009,Coffee Maker,Home,9,59.99,29.06,539.91,261.54,278.37
SALE00079,2023-03-06,S002,Westside,P014,Coffee Beans,Food,3,14.99,6.59,44.97,19.77,25.2
SALE00080,2023-12-04,S004,Eastpark,P007,Jacket,Clothing,8,89.99,52.05,719.92,416.4,303.52
SALE00081,2023-10-09,S002,Westside,P010,Blender,Home,3,39.99,16.23,119.97,48.69,71.28
SALE00082,2023-05-16,S005,Southmall,P010,Blender,Home,9,39.99,16.23,359.91,146.07,213.84
SALE00083,2023-11-07,S003,Northgate,P009,Coffee Maker,Home,7,59.99,29.06,419.93,203.42,216.51
SALE00084,2023-04-19,S004,Eastpark,P014,Coffee Beans,Food,9,14.99,6.59,134.91,59.31,75.6
SALE00085,2023-12-20,S005,Southmall,P011,Vacuum,Home,4,129.99,57.68,519.96,230.72,289.24
SALE00086,2023-06-09,S004,Eastpark,P009,Coffee Maker,Home,7,59.99,29.06,419.93,203.42,216.51
SALE00087,2023-12-10,S001,Downtown,P003,Smartwatch,Electronics,6,199.99,91.0,1199.94,546.0,653.94
SALE00088,2023-08-13,S003,Northgate,P008,Sneakers,Clothing,9,69.99,29.21,629.91,262.89,367.02
SALE00089,2023-08-20,S001,Downtown,P011,Vacuum,Home,2,129.99,57.68,259.98,115.36,144.62
SALE00090,2023-05-07,S005,Southmall,P013,Protein Bar,Food,4,2.99,1.21,11.96,4.84,7.12
SALE00091,2023-02-02,S004,Eastpark,P005,T-Shirt,Clothing,6,19.99,10.94,119.94,65.64,54.3
SALE00092,2023-01-11,S004,Eastpark,P004,Tablet,Electronics,10,449.99,200.08,4499.9,2000.8,2499.1
SALE00093,2023-10-11,S002,Westside,P005,T-Shirt,Clothing,4,19.99,10.94,79.96,43.76,36.2
SALE00094,2023-10-29,S005,Southmall,P007,Jacket,Clothing,4,89.99,52.05,359.96,208.2,151.76
SALE00095,2023-01-04,S003,Northgate,P007,Jacket,Clothing,2,89.99,52.05,179.98,104.1,75.88
SALE00096,2023-12-29,S002,Westside,P006,Jeans,Clothing,1,49.99,26.76,49.99,26.76,23.23
SALE00097,2023-04-28,S004,Eastpark,P002,Headphones,Electronics,2,79.99,32.4,159.98,64.8,95.18
SALE00098,2023-01-17,S004,Eastpark,P008,Sneakers,Clothing,6,69.99,29.21,419.94,175.26,244.68
SALE00099,2023-02-06,S001,Downtown,P011,Vacuum,Home,9,129.99,57.68,1169.91,519.12,650.79
SALE00100,2023-05-02,S001,Downtown,P008,Sneakers,Clothing,5,69.99,29.21,349.95,146.05,203.9
SALE00101,2023-12-09,S004,Eastpark,P006,Jeans,Clothing,8,49.99,26.76,399.92,214.08,185.84
SALE00102,2023-04-20,S005,Southmall,P012,Lamp,Home,9,34.99,17.53,314.91,157.77,157.14
SALE00103,2023-03-09,S003,Northgate,P002,Headphones,Electronics,10,79.99,32.4,799.9,324.0,475.9
SALE00104,2023-10-23,S001,Downtown,P014,Coffee Beans,Food,8,14.99,6.59,119.92,52.72,67.2
SALE00105,2023-05-05,S005,Southmall,P009,Coffee Maker,Home,8,59.99,29.06,479.92,232.48,247.44
SALE00106,2023-07-28,S002,Westside,P004,Tablet,Electronics,4,449.99,200.08,1799.96,800.32,999.64
SALE00107,2023-02-18,S003,Northgate,P005,T-Shirt,Clothing,2,19.99,10.94,39.98,21.88,18.1
SALE00108,2023-12-04,S001,Downtown,P007,Jacket,Clothing,7,89.99,52.05,629.93,364.35,265.58
SALE00109,2023-07-01,S005,Southmall,P011,Vacuum,Home,7,129.99,57.68,909.93,403.76,506.17
SALE00110,2023-07-30,S004,Eastpark,P014,Coffee Beans,Food,8,14.99,6.59,119.92,52.72,67.2
SALE00111,2023-01-28,S001,Downtown,P008,Sneakers,Clothing,2,69.99,29.21,139.98,58.42,81.56
SALE00112,2023-02-01,S004,Eastpark,P011,Vacuum,Home,7,129.99,57.68,909.93,403.76,506.17
SALE00113,2023-06-23,S005,Southmall,P003,Smartwatch,Electronics,2,199.99,91.0,399.98,182.0,217.98
SALE00114,2023-05-08,S005,Southmall,P015,Olive Oil,Food,4,9.99,5.29,39.96,21.16,18.8
SALE00115,2023-04-08,S004,Eastpark,P015,Olive Oil,Food,9,9.99,5.29,89.91,47.61,42.3
SALE00116,2023-08-18,S005,Southmall,P005,T-Shirt,Clothing,3,19.99,10.94,59.97,32.82,27.15
SALE00117,2023-08-05,S004,Eastpark,P009,Coffee Maker,Home,3,59.99,29.06,179.97,87.18,92.79
SALE00118,2023-05-23,S005,Southmall,P002,Headphones,Electronics,8,79.99,32.4,639.92,259.2,380.72
SALE00119,2023-05-08,S004,Eastpark,P015,Olive Oil,Food,2,9.99,5.29,19.98,10.58,9.4
SALE00120,2023-08-15,S005,Southmall,P006,Jeans,Clothing,9,49.99,26.76,449.91,240.84,209.07
SALE00121,2023-02-20,S005,Southmall,P016,Granola,Food,1,6.99,3.56,6.99,3.56,3.43
SALE00122,2023-11-30,S002,Westside,P005,T-Shirt,Clothing,9,19.99,10.94,179.91,98.46,81.45
SALE00123,2023-01-08,S002,Westside,P003,Smartwatch,Electronics,2,199.99,91.0,399.98,182.0,217.98
SALE00124,2023-05-02,S002,Westside,P005,T-Shirt,Clothing,3,19.99,10.94,59.97,32.82,27.15
SALE00125,2023-07-28,S002,Westside,P002,Headphones,Electronics,8,79.99,32.4,639.92,259.2,380.72
SALE00126,2023-09-04,S003,Northgate,P007,Jacket,Clothing,4,89.99,52.05,359.96,208.2,151.76
SALE00127,2023-07-25,S002,Westside,P010,Blender,Home,1,39.99,16.23,39.99,16.23,23.76
SALE00128,2023-03-26,S003,Northgate,P007,Jacket,Clothing,7,89.99,52.05,629.93,364.35,265.58
SALE00129,2023-01-02,S001,Downtown,P016,Granola,Food,7,6.99,3.56,48.93,24.92,24.01
SALE00130,2023-05-16,S004,Eastpark,P003,Smartwatch,Electronics,8,199.99,91.0,1599.92,728.0,871.92
SALE00131,2023-05-27,S004,Eastpark,P003,Smartwatch,Electronics,7,199.99,91.0,1399.93,637.0,762.93
SALE00132,2023-12-23,S005,Southmall,P005,T-Shirt,Clothing,9,19.99,10.94,179.91,98.46,81.45
SALE00133,2023-12-05,S004,Eastpark,P011,Vacuum,Home,8,129.99,57.68,1039.92,461.44,578.48
SALE00134,2023-03-21,S005,Southmall,P015,Olive Oil,Food,4,9.99,5.29,39.96,21.16,18.8
SALE00135,2023-06-01,S003,Northgate,P002,Headphones,Electronics,4,79.99,32.4,319.96,129.6,190.36
SALE00136,2023-01-30,S003,Northgate,P001,Laptop,Electronics,10,899.99,475.09,8999.9,4750.9,4249.0
SALE00137,2023-10-05,S004,Eastpark,P011,Vacuum,Home,1,129.99,57.68,129.99,57.68,72.31
SALE00138,2023-06-10,S001,Downtown,P011,Vacuum,Home,1,129.99,57.68,129.99,57.68,72.31
SALE00139,2023-01-26,S003,Northgate,P015,Olive Oil,Food,10,9.99,5.29,99.9,52.9,47.0
SALE00140,2023-09-02,S005,Southmall,P014,Coffee Beans,Food,9,14.99,6.59,134.91,59.31,75.6
SALE00141,2023-09-29,S004,Eastpark,P012,Lamp,Home,3,34.99,17.53,104.97,52.59,52.38
SALE00142,2023-01-30,S002,Westside,P008,Sneakers,Clothing,9,69.99,29.21,629.91,262.89,367.02
SALE00143,2023-02-11,S003,Northgate,P010,Blender,Home,3,39.99,16.23,119.97,48.69,71.28
SALE00144,2023-02-05,S004,Eastpark,P004,Tablet,Electronics,10,449.99,200.08,4499.9,2000.8,2499.1
SALE00145,2023-02-04,S002,Westside,P013,Protein Bar,Food,4,2.99,1.21,11.96,4.84,7.12
SALE00146,2023-07-26,S002,Westside,P001,Laptop,Electronics,2,899.99,475.09,1799.98,950.18,849.8
SALE00147,2023-10-19,S001,Downtown,P009,Coffee Maker,Home,4,59.99,29.06,239.96,116.24,123.72
SALE00148,2023-10-24,S002,Westside,P015,Olive Oil,Food,10,9.99,5.29,99.9,52.9,47.0
SALE00149,2023-01-21,S003,Northgate,P013,Protein Bar,Food,10,2.99,1.21,29.9,12.1,17.8
SALE00150,2023-02-11,S003,Northgate,P006,Jeans,Clothing,7,49.99,26.76,349.93,187.32,162.61
SALE00151,2023-12-03,S002,Westside,P012,Lamp,Home,10,34.99,17.53,349.9,175.3,174.6
SALE00152,2023-10-17,S001,Downtown,P012,Lamp,Home,9,34.99,17.53,314.91,157.77,157.14
SALE00153,2023-06-11,S005,Southmall,P001,Laptop,Electronics,5,899.99,475.09,4499.95,2375.45,2124.5
SALE00154,2023-04-15,S003,Northgate,P010,Blender,Home,6,39.99,16.23,239.94,97.38,142.56
SALE00155,2023-05-03,S003,Northgate,P015,Olive Oil,Food,5,9.99,5.29,49.95,26.45,23.5
SALE00156,2023-07-22,S003,Northgate,P016,Granola,Food,3,6.99,3.56,20.97,10.68,10.29
SALE00157,2023-12-10,S005,Southmall,P013,Protein Bar,Food,5,2.99,1.21,14.95,6.05,8.9
SALE00158,2023-08-23,S005,Southmall,P016,Granola,Food,6,6.99,3.56,41.94,21.36,20.58
SALE00159,2023-02-07,S005,Southmall,P007,Jacket,Clothing,1,89.99,52.05,89.99,52.05,37.94
SALE00160,2023-08-23,S005,Southmall,P001,Laptop,Electronics,10,899.99,475.09,8999.9,4750.9,4249.0
SALE00161,2023-10-16,S001,Downtown,P008,Sneakers,Clothing,2,69.99,29.21,139.98,58.42,81.56
SALE00162,2023-02-07,S002,Westside,P014,Coffee Beans,Food,9,14.99,6.59,134.91,59.31,75.6
SALE00163,2023-04-20,S002,Westside,P015,Olive Oil,Food,9,9.99,5.29,89.91,47.61,42.3
SALE00164,2023-05-16,S004,Eastpark,P011,Vacuum,Home,3,129.99,57.68,389.97,173.04,216.93
SALE00165,2023-06-28,S002,Westside,P002,Headphones,Electronics,2,79.99,32.4,159.98,64.8,95.18
SALE00166,2023-05-06,S002,Westside,P013,Protein Bar,Food,6,2.99,1.21,17.94,7.26,10.68
SALE00167,2023-05-26,S005,Southmall,P008,Sneakers,Clothing,3,69.99,29.21,209.97,87.63,122.34
SALE00168,2023-08-13,S003,Northgate,P016,Granola,Food,9,6.99,3.56,62.91,32.04,30.87
SALE00169,2023-12-27,S003,Northgate,P009,Coffee Maker,Home,5,59.99,29.06,299.95,145.3,154.65
SALE00170,2023-11-10,S004,Eastpark,P007,Jacket,Clothing,9,89.99,52.05,809.91,468.45,341.46
SALE00171,2023-01-05,S005,Southmall,P003,Smartwatch,Electronics,9,199.99,91.0,1799.91,819.0,980.91
SALE00172,2023-06-03,S001,Downtown,P011,Vacuum,Home,2,129.99,57.68,259.98,115.36,144.62
SALE00173,2023-03-10,S005,Southmall,P010,Blender,Home,5,39.99,16.23,199.95,81.15,118.8
SALE00174,2023-03-01,S001,Downtown,P004,Tablet,Electronics,2,449.99,200.08,899.98,400.16,499.82
SALE00175,2023-10-11,S001,Downtown,P014,Coffee Beans,Food,3,14.99,6.59,44.97,19.77,25.2
SALE00176,2023-05-20,S005,Southmall,P005,T-Shirt,Clothing,5,19.99,10.94,99.95,54.7,45.25
SALE00177,2023-11-06,S002,Westside,P015,Olive Oil,Food,4,9.99,5.29,39.96,21.16,18.8
SALE00178,2023-06-25,S005,Southmall,P001,Laptop,Electronics,4,899.99,475.09,3599.96,1900.36,1699.6
SALE00179,2023-12-18,S001,Downtown,P010,Blender,Home,5,39.99,16.23,199.95,81.15,118.8
SALE00180,2023-09-16,S004,Eastpark,P014,Coffee Beans,Food,8,14.99,6.59,119.92,52.72,67.2
SALE00181,2023-05-09,S005,Southmall,P007,Jacket,Clothing,1,89.99,52.05,89.99,52.05,37.94
SALE00182,2023-02-17,S001,Downtown,P004,Tablet,Electronics,7,449.99,200.08,3149.93,1400.56,1749.37
SALE00183,2023-05-22,S003,Northgate,P014,Coffee Beans,Food,1,14.99,6.59,14.99,6.59,8.4
SALE00184,2023-01-02,S002,Westside,P015,Olive Oil,Food,6,9.99,5.29,59.94,31.74,28.2
SALE00185,2023-03-08,S001,Downtown,P009,Coffee Maker,Home,5,59.99,29.06,299.95,145.3,154.65
SALE00186,2023-03-24,S004,Eastpark,P015,Olive Oil,Food,8,9.99,5.29,79.92,42.32,37.6
SALE00187,2023-10-10,S003,Northgate,P010,Blender,Home,7,39.99,16.23,279.93,113.61,166.32
SALE00188,2023-10-15,S003,Northgate,P007,Jacket,Clothing,1,89.99,52.05,89.99,52.05,37.94
SALE00189,2023-02-27,S002,Westside,P006,Jeans,Clothing,2,49.99,26.76,99.98,53.52,46.46
SALE00190,2023-12-20,S005,Southmall,P007,Jacket,Clothing,3,89.99,52.05,269.97,156.15,113.82
SALE00191,2023-10-07,S001,Downtown,P001,Laptop,Electronics,1,899.99,475.09,899.99,475.09,424.9
SALE00192,2023-07-09,S003,Northgate,P004,Tablet,Electronics,10,449.99,200.08,4499.9,2000.8,2499.1
SALE00193,2023-10-10,S003,Northgate,P002,Headphones,Electronics,3,79.99,32.4,239.97,97.2,142.77
SALE00194,2023-08-09,S002,Westside,P006,Jeans,Clothing,3,49.99,26.76,149.97,80.28,69.69
SALE00195,2023-01-22,S004,Eastpark,P004,Tablet,Electronics,5,449.99,200.08,2249.95,1000.4,1249.55
SALE00196,2023-07-06,S003,Northgate,P013,Protein Bar,Food,1,2.99,1.21,2.99,1.21,1.78
SALE00197,2023-07-03,S002,Westside,P006,Jeans,Clothing,4,49.99,26.76,199.96,107.04,92.92
SALE00198,2023-12-16,S004,Eastpark,P016,Granola,Food,4,6.99,3.56,27.96,14.24,13.72
SALE00199,2023-12-08,S002,Westside,P015,Olive Oil,Food,2,9.99,5.29,19.98,10.58,9.4
SALE00200,2023-07-01,S005,Southmall,P003,Smartwatch,Electronics,9,199.99,91.0,1799.91,819.0,980.91
SALE00201,2023-07-28,S003,Northgate,P014,Coffee Beans,Food,10,14.99,6.59,149.9,65.9,84.0
SALE00202,2023-03-21,S005,Southmall,P009,Coffee Maker,Home,4,59.99,29.06,239.96,116.24,123.72
SALE00203,2023-03-25,S003,Northgate,P009,Coffee Maker,Home,3,59.99,29.06,179.97,87.18,92.79
SALE00204,2023-07-31,S004,Eastpark,P016,Granola,Food,1,6.99,3.56,6.99,3.56,3.43
SALE00205,2023-04-02,S002,Westside,P011,Vacuum,Home,6,129.99,57.68,779.94,346.08,433.86
SALE00206,2023-07-30,S002,Westside,P003,Smartwatch,Electronics,4,199.99,91.0,799.96,364.0,435.96
SALE00207,2023-05-17,S002,Westside,P006,Jeans,Clothing,3,49.99,26.76,149.97,80.28,69.69
SALE00208,2023-12-26,S002,Westside,P009,Coffee Maker,Home,2,59.99,29.06,119.98,58.12,61.86
SALE00209,2023-07-15,S005,Southmall,P007,Jacket,Clothing,1,89.99,52.05,89.99,52.05,37.94
SALE00210,2023-08-29,S002,Westside,P005,T-Shirt,Clothing,4,19.99,10.94,79.96,43.76,36.2
SALE00211,2023-04-13,S003,Northgate,P012,Lamp,Home,8,34.99,17.53,279.92,140.24,139.68
SALE00212,2023-06-29,S003,Northgate,P001,Laptop,Electronics,5,899.99,475.09,4499.95,2375.45,2124.5
SALE00213,2023-04-27,S002,Westside,P005,T-Shirt,Clothing,4,19.99,10.94,79.96,43.76,36.2
SALE00214,2023-01-13,S005,Southmall,P011,Vacuum,Home,4,129.99,57.68,519.96,230.72,289.24
SALE00215,2023-07-24,S001,Downtown,P009,Coffee Maker,Home,6,59.99,29.06,359.94,174.36,185.58
SALE00216,2023-05-23,S005,Southmall,P005,T-Shirt,Clothing,2,19.99,10.94,39.98,21.88,18.1
SALE00217,2023-05-23,S002,Westside,P003,Smartwatch,Electronics,6,199.99,91.0,1199.94,546.0,653.94
SALE00218,2023-11-25,S001,Downtown,P012,Lamp,Home,9,34.99,17.53,314.91,157.77,157.14
SALE00219,2023-07-24,S002,Westside,P003,Smartwatch,Electronics,9,199.99,91.0,1799.91,819.0,980.91
SALE00220,2023-06-19,S003,Northgate,P003,Smartwatch,Electronics,1,199.99,91.0,199.99,91.0,108.99
SALE00221,2023-03-01,S002,Westside,P008,Sneakers,Clothing,5,69.99,29.21,349.95,146.05,203.9
SALE00222,2023-04-02,S002,Westside,P014,Coffee Beans,Food,10,14.99,6.59,149.9,65.9,84.0
SALE00223,2023-05-16,S002,Westside,P008,Sneakers,Clothing,1,69.99,29.21,69.99,29.21,40.78
SALE00224,2023-02-25,S003,Northgate,P001,Laptop,Electronics,10,899.99,475.09,8999.9,4750.9,4249.0
SALE00225,2023-08-11,S005,Southmall,P013,Protein Bar,Food,6,2.99,1.21,17.94,7.26,10.68
SALE00226,2023-06-10,S004,Eastpark,P007,Jacket,Clothing,7,89.99,52.05,629.93,364.35,265.58
SALE00227,2023-11-07,S004,Eastpark,P005,T-Shirt,Clothing,9,19.99,10.94,179.91,98.46,81.45
SALE00228,2023-03-01,S001,Downtown,P005,T-Shirt,Clothing,7,19.99,10.94,139.93,76.58,63.35
SALE00229,2023-10-23,S005,Southmall,P013,Protein Bar,Food,4,2.99,1.21,11.96,4.84,7.12
SALE00230,2023-05-11,S004,Eastpark,P002,Headphones,Electronics,1,79.99,32.4,79.99,32.4,47.59
SALE00231,2023-12-29,S005,Southmall,P006,Jeans,Clothing,7,49.99,26.76,349.93,187.32,162.61
SALE00232,2023-01-01,S001,Downtown,P008,Sneakers,Clothing,9,69.99,29.21,629.91,262.89,367.02
SALE00233,2023-10-03,S002,Westside,P003,Smartwatch,Electronics,4,199.99,91.0,799.96,364.0,435.96
SALE00234,2023-07-06,S004,Eastpark,P014,Coffee Beans,Food,7,14.99,6.59,104.93,46.13,58.8
SALE00235,2023-02-05,S003,Northgate,P009,Coffee Maker,Home,6,59.99,29.06,359.94,174.36,185.58
SALE00236,2023-11-16,S002,Westside,P013,Protein Bar,Food,6,2.99,1.21,17.94,7.26,10.68
SALE00237,2023-12-06,S002,Westside,P008,Sneakers,Clothing,2,69.99,29.21,139.98,58.42,81.56
SALE00238,2023-06-03,S003,Northgate,P015,Olive Oil,Food,9,9.99,5.29,89.91,47.61,42.3
SALE00239,2023-06-08,S002,Westside,P012,Lamp,Home,7,34.99,17.53,244.93,122.71,122.22
SALE00240,2023-06-17,S002,Westside,P008,Sneakers,Clothing,7,69.99,29.21,489.93,204.47,285.46
SALE00241,2023-12-23,S004,Eastpark,P006,Jeans,Clothing,5,49.99,26.76,249.95,133.8,116.15
SALE00242,2023-10-11,S002,Westside,P007,Jacket,Clothing,3,89.99,52.05,269.97,156.15,113.82
SALE00243,2023-04-09,S005,Southmall,P003,Smartwatch,Electronics,7,199.99,91.0,1399.93,637.0,762.93
SALE00244,2023-12-07,S003,Northgate,P002,Headphones,Electronics,7,79.99,32.4,559.93,226.8,333.13
SALE00245,2023-12-13,S002,Westside,P011,Vacuum,Home,3,129.99,57.68,389.97,173.04,216.93
SALE00246,2023-11-12,S001,Downtown,P001,Laptop,Electronics,10,899.99,475.09,8999.9,4750.9,4249.0
SALE00247,2023-06-04,S004,Eastpark,P011,Vacuum,Home,7,129.99,57.68,909.93,403.76,506.17
